127.0.0.1 - - [16/Jun/2022:09:25:57 +0900] "GET / HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [16/Jun/2022:09:25:59 +0900] "GET /mw_0616/dat/list.jsp HTTP/1.1" 200 4648
0:0:0:0:0:0:0:1 - - [16/Jun/2022:09:25:59 +0900] "GET /mw_0616/dat/webapp/css/bootstrap.css HTTP/1.1" 404 1105
0:0:0:0:0:0:0:1 - - [16/Jun/2022:09:25:59 +0900] "GET /mw_0616/dat/wabapp/js/bootstrap.js HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [16/Jun/2022:09:25:59 +0900] "GET /favicon.ico HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [16/Jun/2022:09:26:01 +0900] "GET /mw_0616/dat/readnum.jsp?id=10 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Jun/2022:09:26:02 +0900] "GET /mw_0616/dat/content.jsp?id=10 HTTP/1.1" 200 3473
0:0:0:0:0:0:0:1 - - [16/Jun/2022:09:26:05 +0900] "POST /mw_0616/dat/dat_write_ok.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Jun/2022:09:26:05 +0900] "GET /mw_0616/dat/content.jsp?id=10 HTTP/1.1" 200 3739
0:0:0:0:0:0:0:1 - - [16/Jun/2022:09:26:08 +0900] "POST /mw_0616/dat/dat_write_ok.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Jun/2022:09:26:08 +0900] "GET /mw_0616/dat/content.jsp?id=10 HTTP/1.1" 200 4005
0:0:0:0:0:0:0:1 - - [16/Jun/2022:09:26:10 +0900] "POST /mw_0616/dat/dat_write_ok.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Jun/2022:09:26:10 +0900] "GET /mw_0616/dat/content.jsp?id=10 HTTP/1.1" 200 4271
0:0:0:0:0:0:0:1 - - [16/Jun/2022:09:26:11 +0900] "POST /mw_0616/dat/dat_write_ok.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Jun/2022:09:26:11 +0900] "GET /mw_0616/dat/content.jsp?id=10 HTTP/1.1" 200 4537
0:0:0:0:0:0:0:1 - - [16/Jun/2022:09:26:14 +0900] "POST /mw_0616/dat/dat_write_ok.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Jun/2022:09:26:14 +0900] "GET /mw_0616/dat/content.jsp?id=10 HTTP/1.1" 200 4805
0:0:0:0:0:0:0:1 - - [16/Jun/2022:09:26:16 +0900] "POST /mw_0616/dat/dat_write_ok.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Jun/2022:09:26:16 +0900] "GET /mw_0616/dat/content.jsp?id=10 HTTP/1.1" 200 5077
